"Company Name","52 Week High (₹)","High Date","52 Week Low (₹)","Low Date"
"20 Microns Ltd.","44.15","29/05/2019","30.70","23/08/2019"
"3i Infotech","4.55","22/04/2019","1.55","23/08/2019"
"3M India Ltd.","25,439.95","16/04/2019","16,749.95","16/09/2019"
"3P Land Holdings","13.00","05/02/2019","5.25","22/08/2019"
"3rd Rock Multimedia","104.20","19/01/2018","62.50","10/10/2018"
"5Paisa Capital","270.00","29/05/2019","120.80","23/08/2019"
"63 Moons Technologie","184.75","10/05/2019","70.85","18/02/2019"
"8K Miles Software","142.30","18/04/2019","27.95","27/01/2020"
"A and M Jumbo Bags L","17.86","01/02/2019","7.80","16/09/2019"
"A2Z Infra Engineer","19.70","19/03/2019","6.25","05/02/2020"
"Aakash Exploration","87.80","24/12/2019","14.10","22/10/2019"
"Aaron Industries","51.85","10/01/2020","35.45","22/05/2019"
"Aarti Drugs Ltd","707.00","11/03/2019","427.00","05/08/2019"
"Aarti Ind. Ltd","1,041.95","01/02/2020","650.00","20/02/2019"
"Aarvee Denims an","27.50","30/04/2019","10.65","13/12/2019"
"Aarvi Encon","50.05","16/10/2019","25.55","20/01/2020"
"Aavas Financiers","2,101.00","09/01/2020","826.05","05/02/2019"
"AB Infrabuild","29.50","12/07/2019","10.85","01/02/2020"
"Aban Offshore","78.00","12/03/2019","21.45","26/08/2019"
"ABB India","1,670.00","05/07/2019","1,200.00","26/12/2019"
"Abbott India Ltd.","13,470.05","17/12/2019","7,151.20","22/02/2019"
"ABG Shipyard","8.00","05/06/2018","1.20","15/05/2019"
"ABM International L","16.25","31/12/2019","13.30","05/09/2019"
"ACC","1,769.05","28/05/2019","1,326.00","18/02/2019"
"Accelya Solutions In","1,245.20","19/11/2019","701.00","23/08/2019"
"Accord Synergy","36.20","12/04/2019","17.55","01/01/2020"
"Accuracy Shipping","87.00","03/04/2019","20.80","23/01/2020"
"Ace Integrated Solut","36.00","20/03/2019","12.40","07/11/2019"
"Acropetal Technologi","3.00","04/05/2016","1.20","02/01/2017"
"Action Construction","124.20","02/04/2019","48.20","23/08/2019"
"Adani Enterprises Lt","239.30","05/02/2020","113.00","16/05/2019"
"Adani Gas","185.60","02/01/2020","92.90","06/02/2019"
"Adani Green Energy","243.75","10/01/2020","30.15","18/02/2019"
"Adani Ports & Speci","430.60","23/05/2019","315.75","26/02/2019"
"Adani Power Ltd.","73.80","04/11/2019","33.25","13/02/2019"
"Adani Transmission L","366.40","02/01/2020","191.45","26/02/2019"
"ADF Foods Ltd.","330.00","20/12/2019","205.50","18/02/2019"
"Adhunik Industries","127.50","01/11/2019","34.00","20/12/2019"
"Adhunik Metaliks","3.50","08/04/2019","0.40","22/10/2019"
"Aditya Birla Capital","115.35","13/01/2020","75.50","17/10/2019"
"Aditya Birla Chemica","260.00","24/11/2015","202.00","29/06/2015"
"Aditya Birla Fashion","249.70","02/01/2020","179.70","16/05/2019"
"Aditya Birla Money L","57.00","10/04/2019","27.60","23/08/2019"
"Aditya Birla Nuvo","1,936.80","04/07/2017","1,125.00","21/11/2016"
"AdlabsEntertainment","12.35","19/03/2019","1.85","23/10/2019"
"Ador Welding Ltd.","384.30","28/05/2019","279.00","03/09/2019"
"Adroit Infotech","22.00","12/03/2019","5.70","23/01/2020"
"Advance Metering Tec","37.20","29/07/2016","22.15","23/02/2017"
"Advanced Enzyme Tech","224.90","06/06/2019","142.40","29/08/2019"
"Advani Hotels","75.00","26/02/2019","49.00","23/08/2019"
"Advanta","666.40","31/05/2016","370.50","25/02/2016"
"Aegis Logistics Ltd.","244.90","05/02/2020","160.00","07/10/2019"
"Affle (India)","1,835.00","04/02/2020","750.00","08/08/2019"
"Agarwal Industrial C","194.65","22/04/2019","68.15","13/12/2019"
"AGC Networks","270.55","05/02/2020","71.95","14/08/2019"
"Agri-Tech (India)","73.40","15/04/2019","41.00","12/12/2019"
"Agro Dutch Industrie","3.10","09/08/2016","1.65","03/04/2017"
"Agro Phos India","155.40","26/12/2019","19.35","05/02/2020"
"Agro Tech Foods Ltd.","737.00","15/01/2020","466.05","22/08/2019"
"Ahimsa Industries L","31.80","11/12/2019","18.40","25/01/2019"
"Ahlada Engineers","140.00","20/02/2019","36.30","24/12/2019"
"Ahluwalia Contra","379.95","28/05/2019","250.50","18/02/2019"
"AI Champdany Industr","39.95","23/01/2018","12.45","08/10/2018"
"AIA Engineering","1,889.00","22/01/2020","1,482.10","05/09/2019"
"Airan Ltd.","49.60","03/05/2019","8.80","09/12/2019"
"Airo Lam","37.95","14/03/2019","20.15","16/10/2019"
"Ajanta Pharma Lt","1,227.00","05/02/2020","825.00","31/07/2019"
"Ajmera Realty & Infr","200.50","01/04/2019","96.30","23/08/2019"
"Ajooni Biotech Ltd.","29.00","11/02/2019","7.25","27/01/2020"
"Akash Infra-Projects","99.05","15/01/2020","33.25","06/02/2019"
"AKG Exim Ltd.","37.00","25/03/2019","30.00","24/12/2019"
"Aksh Optifibre","21.90","06/03/2019","5.30","22/08/2019"
"AksharChem (India)","399.90","05/02/2019","175.00","12/12/2019"
"Akzo Nobel India Ltd","2,270.00","05/11/2019","1,600.00","14/05/2019"
"Alankit","40.70","18/04/2019","9.85","29/10/2019"
"Albert David Ltd","549.00","28/01/2020","315.00","23/08/2019"
"Alchemist","2.40","05/02/2019","0.60","16/12/2019"
"Alembic Ltd.","64.90","30/01/2020","33.45","29/08/2019"
"Alembic Pharmaceutic","644.00","29/01/2020","435.15","21/06/2019"
"Alicon Castalloy","648.00","23/04/2019","311.00","03/10/2019"
"Alkali Metals Ltd.","59.00","05/11/2019","34.10","02/08/2019"
"Alkem Laboratories","2,443.20","04/02/2020","1,660.00","05/08/2019"
"Alkyl Amines Che","1,438.00","05/02/2020","653.05","02/08/2019"
"Allahabad Bank","59.00","11/03/2019","16.00","05/02/2020"
"Allcargo Logistics","124.45","15/03/2019","87.15","23/08/2019"
"Allied Digital Servi","26.25","28/11/2019","10.00","15/02/2019"
"Allsec Technologies","348.70","24/01/2020","165.00","11/02/2019"
"Almondz Global Secur","26.80","27/02/2019","8.35","17/10/2019"
"Alok Industries Ltd.","6.65","22/03/2019","1.40","27/10/2019"
"Alpa Laboratories Lt","30.40","27/03/2019","13.20","09/10/2019"
"Alphageo (India)","548.00","15/03/2019","150.80","24/12/2019"
"Alpine Hous.Dev.","28.00","02/04/2014","19.00","28/01/2015"
"Alps Industries","2.85","11/03/2019","0.25","09/10/2019"
"Amara Raja Batt.","813.85","27/01/2020","572.85","20/06/2019"
"Amarjothi Spg.Mi","109.50","21/01/2015","62.50","16/05/2014"
"Ambani Organics","73.50","18/04/2019","58.00","09/08/2019"
"Amber Enterprises","1,639.95","05/02/2020","622.00","18/02/2019"
"Ambika Cotton Mi","1,165.70","05/03/2019","821.05","01/02/2020"
"Ambuja Cements Ltd.","244.00","01/04/2019","184.10","09/10/2019"
"AMD Industries Ltd.","25.90","27/02/2019","11.80","06/08/2019"
"Amit Spinning","1.10","25/04/2017","0.50","06/10/2016"
"AMJ Land Holdings L","24.85","31/01/2020","14.30","06/08/2019"
